Date,Close,High,Low,Open,Volume
12/05/2023,52560.18359,52560.18359,51427.42188,51540.69922,1577558
15/05/2023,51937.16406,52673.46094,51653.97656,52107.07813,1198664
16/05/2023,52446.91016,52730.09766,51710.61328,52107.07813,1591859
17/05/2023,52560.18359,52673.46094,52276.99609,52390.26953,1408766
18/05/2023,53806.22266,54372.60547,52220.35547,52616.82422,3345448
19/05/2023,53353.11719,53749.58594,52446.91016,53523.03516,1076835
22/05/2023,52730.09766,53183.20313,52220.35547,52673.46094,1174649
23/05/2023,52560.18359,53013.28906,52163.71875,52673.46094,1004269
24/05/2023,52446.91016,52560.18359,52050.44141,52560.18359,680106
25/05/2023,52786.73828,53239.84375,51767.25,52446.91016,1106320
26/05/2023,52107.07813,52956.65234,52107.07813,52786.73828,1812735
29/05/2023,52730.09766,53806.22266,52107.07813,52107.07813,1113206
30/05/2023,53523.03516,53692.94922,52333.63281,52730.09766,2308514
31/05/2023,53239.84375,53296.48047,52730.09766,53183.20313,741726
1/06/2023,53183.20313,53579.67188,52786.73828,53579.67188,1255867
2/06/2023,53749.58594,53806.22266,52843.375,53183.20313,2573883
5/06/2023,55505.36719,55901.83594,53919.5,53919.5,2406153
6/06/2023,56071.75,56071.75,54655.79688,55505.36719,1376280
7/06/2023,54938.98828,56071.75,54938.98828,56071.75,1402940
8/06/2023,56638.12891,57600.98047,54938.98828,54938.98828,2400149
9/06/2023,56921.32031,57770.89453,56071.75,56638.12891,1891128
12/06/2023,57204.51172,57487.70313,55562.00781,56581.49219,803522
13/06/2023,58054.08203,58337.27344,56468.21484,56638.12891,1648887
14/06/2023,58110.72266,58903.65625,57487.70313,57997.44531,1519293
15/06/2023,58620.46484,58733.74219,57544.33984,58054.08203,1866410
16/06/2023,59470.03516,60262.97266,58450.55078,59016.93359,2386730
19/06/2023,57600.98047,58960.29297,57600.98047,58677.10156,2145023
20/06/2023,56581.49219,57261.14844,56524.85547,57261.14844,3442043
21/06/2023,56638.12891,56921.32031,56468.21484,56468.21484,2194456
22/06/2023,56864.68359,57770.89453,56581.49219,57770.89453,1582855
23/06/2023,56581.49219,56864.68359,56354.94141,56864.68359,1400469
26/06/2023,56638.12891,57147.875,56128.38672,56128.38672,1425187
27/06/2023,56638.12891,57204.51172,56468.21484,56638.12891,1263988
28/06/2023,57261.14844,57884.16797,56524.85547,56638.12891,1578796
29/06/2023,57714.25391,58337.27344,57261.14844,57657.61719,1761356
30/06/2023,56638.12891,57657.61719,56638.12891,57261.14844,1111617
3/07/2023,56638.12891,57091.23438,56524.85547,56638.12891,865317
4/07/2023,56638.12891,57714.25391,56581.49219,57034.59766,1387226
5/07/2023,57770.89453,58054.08203,56808.04297,57204.51172,4437645
6/07/2023,57034.59766,57884.16797,56921.32031,57827.53125,3264585
7/07/2023,59470.03516,59470.03516,56864.68359,56921.32031,3662374
10/07/2023,58167.35938,59413.39844,57940.80859,59413.39844,3077608
11/07/2023,58337.27344,59470.03516,57657.61719,57657.61719,4400921
12/07/2023,58903.65625,59186.84766,58167.35938,58167.35938,1537478
13/07/2023,59413.39844,59470.03516,58733.74219,59470.03516,2972025
14/07/2023,59470.03516,59470.03516,58903.65625,59413.39844,2310633
17/07/2023,59356.76172,59470.03516,59016.93359,59470.03516,2280443
18/07/2023,59073.57031,59470.03516,59073.57031,59413.39844,1458381
19/07/2023,60319.60938,60659.4375,59243.48438,59243.48438,4566181
20/07/2023,59470.03516,60262.97266,58677.10156,59753.22656,1553025
21/07/2023,59470.03516,59470.03516,58903.65625,59470.03516,3219433
24/07/2023,59243.48438,59696.58984,59186.84766,59526.67578,1613261
25/07/2023,61337.79297,61872.91016,60401.33594,60468.22656,3849337
26/07/2023,62474.91797,62474.91797,61471.57031,61471.57031,2597439
27/07/2023,62006.6875,62675.58594,61872.91016,62675.58594,1431030
28/07/2023,62207.35938,62207.35938,61404.68359,62006.6875,1805837
31/07/2023,61270.90234,62341.13672,61270.90234,62207.35938,2195141
1/08/2023,61003.34375,62073.57813,61003.34375,61270.90234,2052062
2/08/2023,61204.01172,61204.01172,60869.56641,61003.34375,1578452
3/08/2023,60602.00781,61204.01172,60535.11719,61204.01172,1451520
4/08/2023,60267.55859,60936.45313,60267.55859,60668.89453,1841267
7/08/2023,60735.78516,60735.78516,60200.66797,60267.55859,1860865
8/08/2023,60668.89453,61003.34375,60267.55859,60735.78516,1231014
9/08/2023,60334.44922,60802.67578,60267.55859,60668.89453,1051928
10/08/2023,59197.32422,60535.11719,59197.32422,60535.11719,2133556
